Date,Year,Yield
2021-31-12,2021,1.30
2020-31-12,2020,1.58
2019-31-12,2019,1.83
2018-31-12,2018,2.09
2017-31-12,2017,1.84
2016-31-12,2016,2.03
2015-31-12,2015,2.11
2014-31-12,2014,1.92
2013-31-12,2013,1.94
2012-31-12,2012,2.20
2011-31-12,2011,2.13
2010-31-12,2010,1.83
2009-31-12,2009,2.02
2008-31-12,2008,3.23
2007-31-12,2007,1.87
2006-31-12,2006,1.76
2005-31-12,2005,1.76
2004-31-12,2004,1.62
2003-31-12,2003,1.61
2002-31-12,2002,1.79
2001-31-12,2001,1.37
2000-31-12,2000,1.22
1999-31-12,1999,1.17
1998-31-12,1998,1.36
1997-31-12,1997,1.61
1996-31-12,1996,2.00
1995-31-12,1995,2.24
1994-31-12,1994,2.89
1993-31-12,1993,2.70
1992-31-12,1992,2.84
1991-31-12,1991,3.14
1990-31-12,1990,3.68
1989-31-12,1989,3.17
1988-31-12,1988,3.53
1987-31-12,1987,3.66
1986-31-12,1986,3.33
1985-31-12,1985,3.81
1984-31-12,1984,4.58
1983-31-12,1983,4.31
1982-31-12,1982,4.93
1981-31-12,1981,5.36
1980-31-12,1980,4.61
1979-31-12,1979,5.24
1978-31-12,1978,5.28
1977-31-12,1977,4.98
1976-31-12,1976,3.87
1975-31-12,1975,4.15
1974-31-12,1974,5.37
1973-31-12,1973,3.57
1972-31-12,1972,2.68
1971-31-12,1971,3.10
1970-31-12,1970,3.49
1969-31-12,1969,3.47
1968-31-12,1968,2.88
1967-31-12,1967,3.06
1966-31-12,1966,3.53
1965-31-12,1965,2.97
1964-31-12,1964,2.98
1963-31-12,1963,3.07
1962-31-12,1962,3.40
1961-31-12,1961,2.82
1960-31-12,1960,3.43
1959-31-12,1959,3.10
1958-31-12,1958,3.27
1957-31-12,1957,4.44
1956-31-12,1956,3.75
1955-31-12,1955,3.61
1954-31-12,1954,4.40
1953-31-12,1953,5.84
1952-31-12,1952,5.41
1951-31-12,1951,6.02
1950-31-12,1950,7.44
1949-31-12,1949,6.89
1948-31-12,1948,6.12
1947-31-12,1947,5.59
1946-31-12,1946,4.69
1945-31-12,1945,3.81
1944-31-12,1944,4.89
1943-31-12,1943,5.31
1942-31-12,1942,6.20
1941-31-12,1941,8.11
1940-31-12,1940,6.36
1939-31-12,1939,5.01
1938-31-12,1938,4.02
1937-31-12,1937,7.26
1936-31-12,1936,4.22
1935-31-12,1935,3.60
1934-31-12,1934,4.86
1933-31-12,1933,4.41
1932-31-12,1932,7.33
1931-31-12,1931,9.72
1930-31-12,1930,6.32
1929-31-12,1929,4.53
1928-31-12,1928,3.67
1927-31-12,1927,4.41
1926-31-12,1926,5.11
1925-31-12,1925,4.82
1924-31-12,1924,5.41
1923-31-12,1923,6.20
1922-31-12,1922,5.81
1921-31-12,1921,6.29
1920-31-12,1920,7.49
